phylum	352416_SOCS_CHL_STL_DNA	352576_SOCS_CHL_STL_DNA	1293818_SOCS_CHL_STL_DNA_01_C_S28	10009043_ND_VAR_STLOMN_DNA_01	10009052_ND_VAR_STLOMN_DNA_01	10009055_ND_VAR_STLOMN_DNA_01	10010105_ND_VAR_STLOMN_DNA_01	10010108_ND_VAR_STLOMN_DNA_01	10010113_ND_VAR_STLOMN_DNA_01	10010115_ND_VAR_STLOMN_DNA_01	10010227_ND_VAR_STLOMN_DNA_01	10010232_ND_VAR_STLOMN_DNA_01	10010239_ND_VAR_STLOMN_DNA_01	10010243_ND_VAR_STLOMN_DNA_01	10010465_ND_VAR_STLOMN_DNA_01	10010469_ND_VAR_STLOMN_DNA_01	10010471_ND_VAR_STLOMN_DNA_01	10010472_ND_VAR_STLOMN_DNA_01	10010474_ND_VAR_STLOMN_DNA_01	10010480_ND_VAR_STLOMN_DNA_01	10010481_ND_VAR_STLOMN_DNA_01	10010482_ND_VAR_STLOMN_DNA_01	10010483_ND_VAR_STLOMN_DNA_01	10010503_ND_VAR_STLOMN_DNA_01	10010515_ND_VAR_STLOMN_DNA_01	10010520_ND_VAR_STLOMN_DNA_01	10010522_ND_VAR_STLOMN_DNA_01	10010523_ND_VAR_STLOMN_DNA_01	10010600_ND_VAR_STLOMN_DNA_01	10010676_ND_VAR_STLOMN_DNA_01	10010682_ND_VAR_STLOMN_DNA_01	10010688_ND_VAR_STLOMN_DNA_01	10011899_ND_VAR_STLOMN_DNA_01	10011901_ND_VAR_STLOMN_DNA_01	10012005_ND_VAR_STLOMN_DNA_01	10012178_ND_VAR_STLOMN_DNA_01	10012355_ND_VAR_STLOMN_DNA_01	10012358_ND_VAR_STLOMN_DNA_01	10012359_ND_VAR_STLOMN_DNA_01	10012367_ND_VAR_STLOMN_DNA_01	10012371_ND_VAR_STLOMN_DNA_01	10012405_ND_VAR_STLOMN_DNA_01	10012409_ND_VAR_STLOMN_DNA_01	10012417_ND_VAR_STLOMN_DNA_01	10012632_ND_VAR_STLOMN_DNA_01	10012633_ND_VAR_STLOMN_DNA_01	10012634_ND_VAR_STLOMN_DNA_01	10012635_ND_VAR_STLOMN_DNA_01	10012636_ND_VAR_STLOMN_DNA_01	10012637_ND_VAR_STLOMN_DNA_01	10012639_ND_VAR_STLOMN_DNA_01	10012640_ND_VAR_STLOMN_DNA_01	10012642_ND_VAR_STLOMN_DNA_01	10012643_ND_VAR_STLOMN_DNA_01	10012644_ND_VAR_STLOMN_DNA_01	10012645_ND_VAR_STLOMN_DNA_01	10012646_ND_VAR_STLOMN_DNA_01	10012647_ND_VAR_STLOMN_DNA_01	10012648_ND_VAR_STLOMN_DNA_01	10013271_ND_VAR_STLOMN_DNA_01	10013280_ND_VAR_STLOMN_DNA_01	10013287_ND_VAR_STLOMN_DNA_01	10013721_ND_VAR_STLOMN_DNA_01	314196_SOCS_CHL_STL_DNA	314132_SOCS_CHL_STL_DNA	314164_SOCS_CHL_STL_DNA	352640_SOCS_CHL_STL_DNA	352448_SOCS_CHL_STL_DNA	352512_SOCS_CHL_STL_DNA	352480_SOCS_CHL_STL_DNA	352608_SOCS_CHL_STL_DNA	352384_SOCS_CHL_STL_DNA	352672_SOCS_CHL_STL_DNA	352544_SOCS_CHL_STL_DNA	659041_SOCS_CHL_STL_DNA	658945_SOCS_CHL_STL_DNA	1294804_SOCS_ZTA_STL_DNA_01_A_S23	1896846_SOCS_CHEM_STL_DNA_01_C_S73	1896878_SOCS_CHEM_STL_DNA_01_C_S21	2457183_SOCS_CHEM_STL_DNA_01_A_S70	2457151_SOCS_CHEM_STL_DNA_01_C_S18	1896814_SOCS_CHEM_STL_DNA_01_B_S54	3537806_SOCS_CHEM_STL_DNA_01_C_S69	2457119_SOCS_CHEM_STL_DNA	10007208_SOCS_CHEM_STL_DNA	10007207_SOCS_CHEM_STL_DNA	3537710_SOCS_CHEM_STL_DNA	10007202_SOCS_CHEM_STL_DNA	10010095_SOCS_VAR_STLOMN_DNA	10010104_SOCS_VAR_STLOMN_DNA	10010413_SOCS_CHEM_STLOMN_DNA	10010407_SOCS_CHEM_STLOMN_DNA	10010759_SOCS_VAR_STLOMN_DNA	10010746_SOCS_VAR_STLOMN_DNA	10010751_SOCS_VAR_STLOMN_DNA	10010749_SOCS_VAR_STLOMN_DNA	10011433_SOCS_VAR_STLOMN_DNA_01	10012797_SOCS_VAR_STLOMN_DNA_01	10012798_SOCS_VAR_STLOMN_DNA_01	10017598_SOCS_VAR_STLOMN_DNA_01	10017820_SOCS_VAR_STLOMN_DNA_01	10017597_SOCS_VAR_STLOMN_DNA_01	10017827_SOCS_VAR_STLOMN_DNA_01	10017832_SOCS_VAR_STLOMN_DNA_01	10017593_SOCS_VAR_STLOMN_DNA_01	10017601_SOCS_VAR_STLOMN_DNA_01	10017594_SOCS_VAR_STLOMN_DNA_01	10017818_SOCS_VAR_STLOMN_DNA_01	10022766_SOCS_VAR_STLOMN_DNA_01
Lachnospiraceae_UCG-001	1.432474752	0	1.422743744	2.463303381	1.779637581	2.064506956	2.77866637	2.118023282	1.990056176	1.661641519	2.442956587	2.267800766	2.037856381	2.246167212	1.247157575	2.874526464	2.073062276	1.736623961	1.958217171	2.515865604	1.847156561	2.06498568	0	2.723508808	0	1.811122435	2.95308441	2.434248255	3.314669995	1.788303943	2.361527191	2.748132504	2.508433915	0	2.167412054	1.753262209	1.850780619	1.019099577	0	0	0	0	1.935979987	1.118222311	1.11406861	2.179487111	0	1.562982599	2.291130911	2.576004583	1.754015653	2.716004742	2.263743503	1.960232768	0	1.238750772	1.859251803	1.175603121	1.876251367	0	2.893524207	1.911525571	2.032862007	0	0	1.291313347	0	0	0	0	0	1.362361019	0	0	1.725140035	0	1.692997841	2.042016236	0	0	0	1.538978753	1.076117521	0	0	0	2.03789517	0	0.926459011	0	0	2.241199837	0	0	1.145268146	2.598368258	0	1.901806741	1.263942068	0	0	0	0	0	1.212448782	0	1.584521751	1.755067445	1.462880383
Hungatella	0	1.054656444	0	0	0	0	0	0	0	0	0	0.845640199	0	0	1.218946707	0	0	0	0	0	1.07206885	0	0	0.858087404	0	0	0	0	0	0	0	0	0	1.440829123	0	0	0	0	0	0	1.216638392	1.547849846	0	1.205646536	0	1.141431283	0	0	0	0	1.631620086	0	0.805869785	0	0	0	1.10071692	0	0	0	0	2.218029657	0	0	1.409000829	0	1.433058368	0	0	2.983721269	0	2.042377505	0.890644661	0	0	0	0	0	2.38588677	0	0.999247664	0	0	1.235029177	1.172927716	0	0.917066057	0	0	1.571666485	1.326055132	0.992490712	1.006541247	1.380918903	1.145268146	1.297514773	1.236745965	0	0	1.391936485	1.40369848	0	0	0	1.04947143	1.411156092	0	1.542517068	0
Prevotella	0.727936311	0	0	0.915934063	0	0	0	0	0	0	0	0	0	0	0	0	0	0.573458075	1.241343543	0	0	0	0	0	0	0	2.129758764	0	0	0	0	0	0	0	0	0	1.127624531	0	0	0	0	0.319955652	0	0	0	0	0	0.721560162	0	0	0	0	0	0	0.659743875	0	0	0	1.252001945	0	0	0	0	1.745733702	0	0	0	0.563819933	0.587146139	1.489057878	0	0	0.9495365	0	1.503136426	0	0	0	0	0	0.876960287	0	0	2.95191818	0.964183998	0	0	2.301155522	0	0	0	0	0	0	0	0	0	0	0	2.406153072	0	0	0	0	2.497400597	0	0	0	2.888228754
Holdemania	0.986311202	1.362879714	0.837433686	1.541420389	1.551812735	1.589616333	1.580478589	1.647471074	1.521732274	1.402024531	0.863328678	1.00056925	1.312842196	1.224123654	0.816612161	1.508913088	0.488054099	1.747420186	1.418226811	0	1.578837964	1.82815207	0	1.339577398	1.851661437	1.14325999	1.354440751	1.667569488	1.676431531	0.96212075	1.847336612	1.240521232	0	2.257454903	0	1.762439116	1.083111635	1.662739752	0	1.278983459	0	1.442205755	1.706622826	1.956656124	1.064141291	1.38541958	1.491823902	0	1.11383497	0.941270867	2.217936256	1.691816599	0	1.115055404	0	2.266445843	2.120665202	0.988535262	1.087898628	2.206982441	1.51786925	0.956979963	1.28067093	1.324038572	1.067422467	0	0	1.15576962	0.789365358	0.819165269	0	1.045272654	0	0	1.224501712	1.02257009	0.944141337	0	0	0	1.313837711	0	1.110858126	1.210277292	1.512827822	0	0.917066057	0	1.725060653	0	1.455252656	0	0.433922504	0.816981383	1.282423406	1.416945934	1.962124589	0.725571392	0	1.070151879	0	0	1.604276962	0	1.680789248	2.018538264	1.685343231	1.863232789	1.568687832
Gemella	0	1.692482248	0.616443241	0	0	0.580377154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.971764775	0	0	0	0	0	1.210476623	0	0	0	0	0	0	0	0	0.776564774	0.666085403	0	0.521554879	0	0	0	0	1.122087039	0	0.852335288	0.74015114	0	0	0.403917855	0	0	1.588706683	0	1.608305577	1.229864541	1.185396247	3.089529765	0	0	0	0	0.763367846	2.132027057	0	0	0	0	0.770826254	0	0.900165992	0	0	0	1.028659946	0	0	0	0.813270983	0	0.788724234	1.665429236	0.974603797	0	0	0	0	1.428254761	0	0	0	0	0	0	0	0	1.577978194
Parvimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.123070329	0.539639178	0	0	1.229864541	1.115040211	3.071018746	0	0	0	0	0.763367846	1.529396896	0	0	0	0	1.195870613	0	0	2.358838898	1.992279179	0	0	0	0	0	0.574341228	0	0	1.02257009	0.943661905	0	0	0	0	0.80458526	0	0	0	0	0.962143349	0	0	0	0.869663843
Lachnospiraceae_FCS020_group	0	0	1.624723822	0	1.221133498	1.503207163	0	1.17992978	1.170832979	0	1.85248664	0.845640199	1.287832007	1.741585338	1.549551223	0	0	1.891322821	1.316352504	1.457715247	0	0	0	1.758582549	0	1.641050043	1.373770447	0	1.538606878	1.661870775	1.382387786	0	1.443821949	0	0	1.671898704	1.527292188	1.645404206	0	1.072104075	0	0	1.307748871	0	1.515537827	1.819873741	0	1.489518791	1.351192083	1.790821595	0.901434523	0	0.91349105	0	1.068355131	0	0	1.933349818	1.731133509	0	1.304719455	1.66170375	1.124831635	1.043129433	0	0.80703444	0	1.013679638	0	0	0	0	0	0	0	0.719089455	0	0	0	1.41123013	0	1.103265111	1.076117521	0	0	0	0	0	0	0	0	0.882036687	0	1.137077015	0.627680909	1.510517562	0	0	0.92640714	1.702983317	1.513667636	1.509427856	0	0	0	0	0	1.136822341	1.025758361
Peptostreptococcus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.987050758	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.123070329	0	0	0	1.229864541	0	2.205302001	0	0	0	0	1.224501712	2.296718615	0	0	0	0	0.921659175	0	0	2.653902436	1.419238551	0	0	1.747508918	0	0	0	0	0.646590851	0.91116174	0	0.756612746	0	0	0	1.23374792	0	1.058385063	0	0	1.85385089	0	0	0	1.863815623
Cloacibacillus	0	0	0.837433686	0	1.249353185	0	0	0	0	0	0	0	1.096939382	0	1.322222283	0	0.968759318	0	0	0	0	0	0	0	0	0	0	0	0	0.420442701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.941708122	0	0	0	1.157780066	0	0	0	0.889076501	0	0	0	1.150819312	0	0	0	0	0	0	2.473479872	0	0	0	0	1.241904651	0	0	0	2.186872139	0	0	1.968546182	0.775366941	0	0	0	1.489302924	0	0	0	0	2.182384426	0	2.426741806	0	0	1.65771536	0	0	0	0	0	0	0	1.470973263	0	0	0	0
Ruminococcaceae_UCG-008	0	0	0	0	0	0.716653931	1.4194397	0	0.748691323	0	0	0	0	0	1.218946707	2.02226998	1.357992753	0.709064715	0	1.369492233	0	2.292874257	0	0.443264159	0	0	0	1.762608043	0	0.770767472	0	0	0	0	0	0	0	0.889285606	0	0	0	0	0.765516217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.126054554	0	0	0	0	0	0	0	0	0	0	0	0	1.508047437	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.136209181	0	0	0	0	0	0
Caproiciproducens	0	0	0	1.828452741	0.818584996	1.78754362	0	0.702262238	1.823751491	1.473113454	1.535300665	1.00056925	1.055024972	0.597027022	2.090692149	1.185711262	1.808431378	1.29068254	0	1.062513784	0.74052972	1.245026493	1.842747072	1.65681843	1.691312222	1.876334115	0	1.092654681	0	2.036528036	1.057067186	0	1.158147384	0.615825318	0	0.976336903	1.033509858	1.578621216	0	0.531650195	1.259750626	1.523749238	0.765516217	0.42698703	0.822744805	0	1.623715531	0	1.642439705	0	1.661954242	1.169281178	0.805869785	1.23158275	0.859998062	0	1.154382346	0	1.798223537	0.626699153	0.596523164	1.394225055	1.911457504	0	0.82933428	0	0.781948348	1.013679638	0	0	0.825738853	0.921401316	0.741624375	0	0	0	0	0	0	0	1.776670688	0	0	0	1.069448179	0	1.028659946	1.259119587	0	0	0.870574421	1.456203642	0	1.247568576	0	0	0	1.463189781	1.318967581	0.98238287	0	0	0	0	0	1.332465868	2.005980861	0	0
Anaerofilum	0	1.307569804	1.131579241	1.281040757	0.88663349	0	0	1.326135801	0	0.446424778	0	1.07976103	0	0	0.735956132	0.945449885	0.917383662	0.855904902	1.267812353	0.560748864	0	1.081114579	1.113329401	1.12791599	1.008624718	0.994499575	0.709064715	0	0.941770941	0	0	0.572075006	0	0	0	1.223482195	0.692040706	0.913797625	0	1.072104075	0	0.790506357	1.088675668	0	0	0	1.32267417	0	1.159895148	0	0.941708122	0	1.103465026	0	1.100253608	1.122087039	0	0.902632373	1.087898628	1.029403583	0	1.413937306	0.829562425	0.737513417	0	0	0	0.801109517	0	0	0	0	0	0	0.573149992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.452571177	0	0	0	0.627680909	0	0.844241694	1.144496411	0	0	0	0	0	0	1.007998697	1.535480269	1.193171854	0	0.95468663
Ruminococcaceae_UCG-011	0	0	1.092133044	0	0.737856654	0	0	0.702262238	1.13570043	0.862338208	0	0.954804736	0	0	0.995150318	0	1.316527232	0	0	0	1.711163288	0	0	0	0	0	0.709064715	1.092654681	0	0	0	0	0	0	0	0	1.00640893	0.568188238	0	0.531650195	0	0	0	0	0	0	0	0	0	0	0	0	0.805869785	0	0	0	0	0	1.223771678	0	0	1.288155067	1.316558929	0	0.772979828	0	0	0	0	0	0	0.921401316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.361204627	0	0	0	0	0	0	0	0	0	0	0	0.451051072	0	0

